
Image Name                     PID Services                                    
node_repl.exe                18644 N/A                                         
cmd.exe                       5408 N/A                                         
node.exe                     18600 N/A                                         
node.exe                     17044 N/A                                         
node_repl.exe                 6116 N/A                                         
cmd.exe                      15332 N/A                                         
node.exe                      8188 N/A                                         
node.exe                     19188 N/A                                         
node_repl.exe                21172 N/A                                         
cmd.exe                       6176 N/A                                         
node.exe                     16452 N/A                                         
node.exe                     13588 N/A                                         
svchost.exe                  15964 InstallService                              
svchost.exe                  17160 DisplayEnhancementService                   
node_repl.exe                 3172 N/A                                         
cmd.exe                      15240 N/A                                         
node.exe                     21756 N/A                                         
node.exe                     22732 N/A                                         
node_repl.exe                22540 N/A                                         
cmd.exe                      21860 N/A                                         
node.exe                     23244 N/A                                         
node.exe                     20324 N/A                                         
svchost.exe                  18588 WdiSystemHost                               
chrome.exe                   17516 N/A                                         
chrome.exe                   16120 N/A                                         
WmiPrvSE.exe                 10568 N/A                                         
conhost.exe                  20832 N/A                                         
conhost.exe                  19844 N/A                                         
conhost.exe                  16624 N/A                                         
conhost.exe                  17284 N/A                                         
conhost.exe                  12264 N/A                                         
conhost.exe                  19028 N/A                                         
chrome.exe                   22092 N/A                                         
claude.exe                   19692 N/A                                         
conhost.exe                  13428 N/A                                         
cmd.exe                       1156 N/A                                         
conhost.exe                  22016 N/A                                         
cmd.exe                      22388 N/A                                         
conhost.exe                  22504 N/A                                         
cmd.exe                      22844 N/A                                         
node.exe                     19200 N/A                                         
conhost.exe                  17512 N/A                                         
node.exe                     13528 N/A                                         
node.exe                      2160 N/A                                         
node.exe                     21572 N/A                                         
cmd.exe                       3716 N/A                                         
node.exe                     13608 N/A                                         
cmd.exe                      15960 N/A                                         
node.exe                     10640 N/A                                         
node.exe                      9616 N/A                                         
conhost.exe                  19012 N/A                                         
conhost.exe                  21920 N/A                                         
claude.exe                   12832 N/A                                         
conhost.exe                   7372 N/A                                         
cmd.exe                      22536 N/A                                         
conhost.exe                  21752 N/A                                         
cmd.exe                      10676 N/A                                         
conhost.exe                  19068 N/A                                         
node.exe                     17996 N/A                                         
cmd.exe                      17860 N/A                                         
conhost.exe                  13812 N/A                                         
node.exe                     21448 N/A                                         
node.exe                      3256 N/A                                         
node.exe                      8812 N/A                                         
cmd.exe                       1600 N/A                                         
node.exe                     19320 N/A                                         
cmd.exe                      15292 N/A                                         
node.exe                     21844 N/A                                         
node.exe                     23436 N/A                                         
conhost.exe                  21940 N/A                                         
claude.exe                   13864 N/A                                         
conhost.exe                  11856 N/A                                         
cmd.exe                       5064 N/A                                         
conhost.exe                  19740 N/A                                         
cmd.exe                       6252 N/A                                         
conhost.exe                  21952 N/A                                         
node.exe                     21232 N/A                                         
cmd.exe                       9916 N/A                                         
conhost.exe                   2848 N/A                                         
node.exe                     17980 N/A                                         
node.exe                     16804 N/A                                         
node.exe                      3484 N/A                                         
cmd.exe                      19044 N/A                                         
node.exe                     16092 N/A                                         
cmd.exe                       9588 N/A                                         
node.exe                     21220 N/A                                         
node.exe                     18876 N/A                                         
conhost.exe                  23044 N/A                                         
conhost.exe                   8004 N/A                                         
conhost.exe                  15652 N/A                                         
conhost.exe                   5436 N/A                                         
chrome.exe                   12368 N/A                                         
node_repl.exe                13884 N/A                                         
cmd.exe                      22096 N/A                                         
node.exe                     10852 N/A                                         
node.exe                     18976 N/A                                         
WmiPrvSE.exe                 16824 N/A                                         
chrome.exe                   24500 N/A                                         
chrome.exe                   24192 N/A                                         
conhost.exe                  16500 N/A                                         
conhost.exe                  20620 N/A                                         
conhost.exe                  13024 N/A                                         
conhost.exe                   9744 N/A                                         
conhost.exe                  24968 N/A                                         
svchost.exe                  24832 AppXSvc                                     
node_repl.exe                23584 N/A                                         
cmd.exe                      25308 N/A                                         
node.exe                      7836 N/A                                         
node.exe                      6032 N/A                                         
smartscreen.exe               8056 N/A                                         
Code.exe                      1384 N/A                                         
Code.exe                     24848 N/A                                         
Code.exe                     18152 N/A                                         
Code.exe                     13844 N/A                                         
svchost.exe                  24836 fdPHost                                     
Code.exe                     13088 N/A                                         
Code.exe                     19848 N/A                                         
Code.exe                     24876 N/A                                         
Code.exe                     23224 N/A                                         
Code.exe                     25136 N/A                                         
Code.exe                     24660 N/A                                         
pet.exe                      22100 N/A                                         
conhost.exe                  22608 N/A                                         
