"Name","Id","CurrentCpuPercent","TotalCpuSeconds","WorkingSetMB","PrivateMemoryMB","Threads","Handles","Path"
"SearchHost","9328","0","3.03","104","71.1","12","923","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"
"Code","18576","0","0.48","101.1","30.4","8","180","C:\Program Files\Microsoft VS Code\Code.exe"
"Secure System","284","","","99.6","0.2","0","0",""
"chrome","15060","0","1.44","97.8","56.2","31","441","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","16120","0","1.97","96.7","52.4","32","352","C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","17516","0","0.64","92.2","44.7","31","399","C:\Program Files\Google\Chrome\Application\chrome.exe"
"claude","10228","0","0.75","90.7","10.4","9","234","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"msedgewebview2","21656","0","0.19","87.4","77.6","16","474","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"chrome","3984","0","49.83","84.9","64","24","917","C:\Program Files\Google\Chrome\Application\chrome.exe"
"node","19096","0","1.3","84.5","84.7","13","240","C:\Program Files\nodejs\node.exe"
"node","25688","0","1.25","84.3","83.4","13","240","C:\Program Files\nodejs\node.exe"
"node","3256","0","0.84","84.1","84.2","13","239","C:\Program Files\nodejs\node.exe"
"node","16804","0","1.28","84.1","83.7","13","239","C:\Program Files\nodejs\node.exe"
"node","3484","0","1.52","83.9","83.5","13","239","C:\Program Files\nodejs\node.exe"
"node","21572","0","0.89","83.4","84.1","13","239","C:\Program Files\nodejs\node.exe"
"node","8812","0","0.84","83.4","82.8","13","239","C:\Program Files\nodejs\node.exe"
"node","2160","0","1","83.4","82.8","13","239","C:\Program Files\nodejs\node.exe"
"powershell","24380","0","0.69","80.5","64.3","9","679","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"node","21220","0","1.45","78.3","47.4","10","223","C:\Program Files\nodejs\node.exe"
"node","21844","0","0.78","78","47.5","10","223","C:\Program Files\nodejs\node.exe"
"node","25508","0","0.89","77.8","47","10","223","C:\Program Files\nodejs\node.exe"
"node","10640","0","0.64","77.8","46.8","10","223","C:\Program Files\nodejs\node.exe"
"WindowsTerminal","8216","0","3.48","76.7","73.3","8","617","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"
"node","22732","0","1.75","75.6","41.3","10","203","C:\Program Files\nodejs\node.exe"
"powershell","27068","","0.19","75.5","61.6","34","696","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"CrossDeviceService","8808","0","1.53","74","22.1","12","854","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26042.110.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"
"ShellExperienceHost","20664","0","1.28","73.6","51.8","22","826","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"claude","10752","0","0.23","73.4","28.2","20","256","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"Widgets","9564","0","2.91","71.1","13.8","14","993","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.11701.50.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"
"claude","16844","0","0.19","66.5","28.3","17","244","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"msedgewebview2","11364","0","1.8","65.8","66.3","33","373","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"node","27332","0","0.3","65.4","66","13","203","C:\Program Files\nodejs\node.exe"
"node","24428","0","0.38","62.5","28.8","10","190","C:\Program Files\nodejs\node.exe"
"node","23120","0","0.27","62.2","27.9","10","190","C:\Program Files\nodejs\node.exe"
"node","28088","0","0.22","62.2","28.5","10","189","C:\Program Files\nodejs\node.exe"
"claude","6768","0","8.89","62.1","15.4","19","375","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"node","27016","0","0.09","62","28","10","194","C:\Program Files\nodejs\node.exe"
"node","2976","0","0.28","59.4","59.7","13","202","C:\Program Files\nodejs\node.exe"
